depth	signal
4.000000E+00	1.969700E+01
4.400000E+00	1.969000E+01
4.900000E+00	1.971600E+01
5.300000E+00	1.973700E+01
5.700000E+00	1.977600E+01
6.100000E+00	1.980300E+01
6.400000E+00	1.983900E+01
6.900000E+00	1.989200E+01
7.300000E+00	1.992400E+01
7.700000E+00	1.996000E+01
8.100000E+00	2.000000E+01
8.500000E+00	2.004700E+01
8.900000E+00	2.006800E+01
9.300000E+00	2.010200E+01
9.700000E+00	2.014200E+01
1.010000E+01	2.017100E+01
1.050000E+01	2.020500E+01
1.090000E+01	2.023600E+01
1.130000E+01	2.028400E+01
1.170000E+01	2.032000E+01
1.210000E+01	2.035700E+01
1.250000E+01	2.038100E+01
1.290000E+01	2.041800E+01
1.330000E+01	2.046000E+01
1.370000E+01	2.047600E+01
1.410000E+01	2.050500E+01
1.440000E+01	2.051500E+01
1.490000E+01	2.055400E+01
1.530000E+01	2.060400E+01
1.570000E+01	2.062500E+01
1.610000E+01	2.065400E+01
1.650000E+01	2.067800E+01
1.690000E+01	2.072000E+01
1.730000E+01	2.075200E+01
1.770000E+01	2.076700E+01
1.810000E+01	2.080400E+01
1.850000E+01	2.083300E+01
1.890000E+01	2.086200E+01
1.930000E+01	2.088600E+01
1.970000E+01	2.091200E+01
2.010000E+01	2.094400E+01
2.050000E+01	2.096700E+01
2.090000E+01	2.099600E+01
2.130000E+01	2.103600E+01
2.170000E+01	2.104900E+01
2.210000E+01	2.108000E+01
2.250000E+01	2.111200E+01
2.290000E+01	2.112500E+01
2.330000E+01	2.116400E+01
2.370000E+01	2.119100E+01
2.410000E+01	2.122000E+01
2.450000E+01	2.125600E+01
2.490000E+01	2.128000E+01
2.530000E+01	2.129300E+01
2.580000E+01	2.132700E+01
2.610000E+01	2.135900E+01
2.660000E+01	2.138300E+01
2.700000E+01	2.140400E+01
2.730000E+01	2.143800E+01
2.770000E+01	2.146700E+01
2.810000E+01	2.149600E+01
2.860000E+01	2.152200E+01
2.890000E+01	2.154500E+01
2.940000E+01	2.157400E+01
2.970000E+01	2.158500E+01
3.020000E+01	2.162200E+01
3.060000E+01	2.165300E+01
3.100000E+01	2.166900E+01
3.140000E+01	2.170300E+01
3.180000E+01	2.172200E+01
3.220000E+01	2.175300E+01
3.260000E+01	2.178500E+01
3.300000E+01	2.181100E+01
3.340000E+01	2.183700E+01
3.380000E+01	2.186900E+01
3.680000E+01	2.205300E+01
3.980000E+01	2.225500E+01
4.280000E+01	2.244700E+01
4.580000E+01	2.264700E+01
4.890000E+01	2.283900E+01
5.180000E+01	2.303900E+01
5.490000E+01	2.323300E+01
5.790000E+01	2.344900E+01
6.090000E+01	2.366400E+01
6.390000E+01	2.389300E+01
6.690000E+01	2.412700E+01
6.990000E+01	2.434500E+01
7.290000E+01	2.459200E+01
7.600000E+01	2.484200E+01
7.900000E+01	2.511800E+01
8.200000E+01	2.538400E+01
8.500000E+01	2.569600E+01
8.800000E+01	2.602200E+01
9.100000E+01	2.635600E+01
9.400000E+01	2.672700E+01
9.700000E+01	2.712100E+01
1.000000E+02	2.752900E+01
1.030000E+02	2.798900E+01
1.060000E+02	2.846200E+01
1.090000E+02	2.899000E+01
1.120000E+02	2.957400E+01
1.150000E+02	3.019900E+01
1.180000E+02	3.091700E+01
1.210000E+02	3.169800E+01
1.240000E+02	3.260700E+01
1.270000E+02	3.364100E+01
1.300000E+02	3.486600E+01
1.330000E+02	3.625900E+01
1.373000E+02	3.876700E+01
1.377000E+02	3.904800E+01
1.381000E+02	3.933200E+01
1.385000E+02	3.960500E+01
1.389000E+02	3.993100E+01
1.393000E+02	4.022600E+01
1.397000E+02	4.056200E+01
1.401000E+02	4.087500E+01
1.405000E+02	4.123800E+01
1.409000E+02	4.158500E+01
1.413000E+02	4.197100E+01
1.417000E+02	4.233700E+01
1.421000E+02	4.275200E+01
1.425000E+02	4.316200E+01
1.429000E+02	4.358300E+01
1.433000E+02	4.401400E+01
1.437000E+02	4.450000E+01
1.441000E+02	4.502300E+01
1.445000E+02	4.548800E+01
1.449000E+02	4.603500E+01
1.453000E+02	4.660300E+01
1.457000E+02	4.721000E+01
1.461000E+02	4.785200E+01
1.465000E+02	4.848500E+01
1.469000E+02	4.920800E+01
1.473000E+02	4.991500E+01
1.477000E+02	5.069600E+01
1.481000E+02	5.156400E+01
1.485000E+02	5.240500E+01
1.489000E+02	5.337000E+01
1.493000E+02	5.438700E+01
1.497000E+02	5.554900E+01
1.501000E+02	5.666300E+01
1.505000E+02	5.801200E+01
1.509000E+02	5.935800E+01
1.513000E+02	6.095400E+01
1.517000E+02	6.264400E+01
1.521000E+02	6.445500E+01
1.525000E+02	6.646600E+01
1.529000E+02	6.869300E+01
1.533000E+02	7.108200E+01
1.537000E+02	7.380800E+01
1.541000E+02	7.651300E+01
1.545000E+02	7.944400E+01
1.549000E+02	8.208100E+01
1.553000E+02	8.455500E+01
1.557000E+02	8.647900E+01
1.561000E+02	8.783800E+01
1.565000E+02	8.831100E+01
1.568000E+02	8.785100E+01
1.573000E+02	8.588800E+01
1.577000E+02	8.295400E+01
1.581000E+02	7.870300E+01
1.585000E+02	7.321200E+01
1.589000E+02	6.769900E+01
1.593000E+02	6.052800E+01
1.597000E+02	5.356700E+01
1.601000E+02	4.579900E+01
1.605000E+02	3.836700E+01
1.609000E+02	3.131100E+01
1.613000E+02	2.593000E+01
1.617000E+02	1.952100E+01
1.621000E+02	1.480300E+01
1.625000E+02	1.092300E+01
1.629000E+02	7.897000E+00
1.633000E+02	5.108000E+00
1.637000E+02	3.559000E+00
1.641000E+02	2.329000E+00
1.645000E+02	1.375000E+00
1.649000E+02	8.490000E-01
1.653000E+02	4.920000E-01
1.657000E+02	2.680000E-01
1.660000E+02	1.840000E-01
1.664000E+02	1.050000E-01
1.668000E+02	6.300000E-02
1.672000E+02	5.000000E-02
1.676000E+02	3.700000E-02
1.680000E+02	3.400000E-02
1.684000E+02	3.200000E-02
1.688000E+02	3.200000E-02
1.692000E+02	3.200000E-02
1.696000E+02	2.900000E-02
1.700000E+02	3.200000E-02
1.704000E+02	3.200000E-02
1.708000E+02	2.900000E-02
1.712000E+02	2.900000E-02
1.716000E+02	2.900000E-02
1.720000E+02	2.900000E-02
1.724000E+02	2.600000E-02
1.728000E+02	2.900000E-02
1.732000E+02	2.600000E-02
1.736000E+02	2.900000E-02
1.740000E+02	2.600000E-02
1.744000E+02	2.600000E-02
1.748000E+02	2.600000E-02
1.752000E+02	2.900000E-02
1.756000E+02	2.900000E-02
1.760000E+02	2.600000E-02
1.764000E+02	2.600000E-02
1.768000E+02	2.400000E-02
1.772000E+02	2.600000E-02
1.776000E+02	2.600000E-02
1.780000E+02	2.600000E-02
1.784000E+02	2.600000E-02
1.788000E+02	2.600000E-02
1.792000E+02	2.600000E-02
1.796000E+02	2.400000E-02
1.800000E+02	2.600000E-02
1.804000E+02	2.600000E-02
1.810000E+02	2.600000E-02
1.850000E+02	2.400000E-02
