depth	signal
4.000000E+00	1.986000E+01
4.200000E+00	1.987100E+01
4.700000E+00	1.988700E+01
5.200000E+00	1.991300E+01
5.700000E+00	1.992900E+01
6.200000E+00	2.000200E+01
6.700000E+00	2.002900E+01
7.200000E+00	2.008600E+01
7.700000E+00	2.013900E+01
8.200000E+00	2.017100E+01
8.600000E+00	2.019400E+01
9.200000E+00	2.024700E+01
9.700000E+00	2.029700E+01
1.020000E+01	2.032300E+01
1.070000E+01	2.037300E+01
1.120000E+01	2.039700E+01
1.170000E+01	2.042800E+01
1.220000E+01	2.046800E+01
1.270000E+01	2.049100E+01
1.320000E+01	2.052800E+01
1.370000E+01	2.056500E+01
1.420000E+01	2.061000E+01
1.470000E+01	2.063300E+01
1.520000E+01	2.064400E+01
1.570000E+01	2.068800E+01
1.620000E+01	2.071700E+01
1.670000E+01	2.074400E+01
1.720000E+01	2.076700E+01
1.770000E+01	2.079900E+01
1.820000E+01	2.082800E+01
1.870000E+01	2.083600E+01
1.920000E+01	2.088800E+01
1.970000E+01	2.090100E+01
2.020000E+01	2.093800E+01
2.070000E+01	2.094600E+01
2.120000E+01	2.099100E+01
2.170000E+01	2.100400E+01
2.220000E+01	2.102700E+01
2.270000E+01	2.105400E+01
2.320000E+01	2.107000E+01
2.370000E+01	2.109100E+01
2.420000E+01	2.111200E+01
2.470000E+01	2.112700E+01
2.520000E+01	2.116900E+01
2.570000E+01	2.119300E+01
2.620000E+01	2.120100E+01
2.670000E+01	2.121900E+01
2.720000E+01	2.124800E+01
2.770000E+01	2.125900E+01
2.830000E+01	2.128800E+01
2.880000E+01	2.130900E+01
2.930000E+01	2.133800E+01
2.980000E+01	2.135300E+01
3.030000E+01	2.137400E+01
3.080000E+01	2.138500E+01
3.130000E+01	2.141600E+01
3.180000E+01	2.143000E+01
3.230000E+01	2.144300E+01
3.280000E+01	2.145900E+01
3.330000E+01	2.147200E+01
3.380000E+01	2.148700E+01
3.680000E+01	2.159500E+01
3.980000E+01	2.168500E+01
4.280000E+01	2.176300E+01
4.580000E+01	2.183700E+01
4.880000E+01	2.191900E+01
5.180000E+01	2.197900E+01
5.490000E+01	2.203400E+01
5.790000E+01	2.208900E+01
6.090000E+01	2.215500E+01
6.390000E+01	2.218700E+01
6.690000E+01	2.225000E+01
6.990000E+01	2.230200E+01
7.300000E+01	2.233600E+01
7.600000E+01	2.240200E+01
7.900000E+01	2.242300E+01
8.200000E+01	2.248400E+01
8.500000E+01	2.252600E+01
8.800000E+01	2.255700E+01
9.100000E+01	2.258300E+01
9.400000E+01	2.263100E+01
9.700000E+01	2.267500E+01
1.000000E+02	2.272800E+01
1.030000E+02	2.275400E+01
1.060000E+02	2.279900E+01
